,0
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,0
822,0
823,0
824,0
825,0
826,1
827,1
828,1
829,1
830,0
831,1
832,1
833,1
834,0
835,0
836,0
837,1
838,0
839,1
840,1
841,0
842,0
843,0
844,1
845,1
846,0
847,1
848,0
849,0
850,0
851,0
852,1
853,1
854,0
855,1
856,0
857,0
858,0
859,1
860,0
861,1
862,1
863,0
864,1
865,1
866,1
867,0
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,1
890,1
891,1
892,1
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,0
920,1
921,0
922,0
923,1
924,1
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,1
935,0
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,0
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,0
959,1
960,1
961,1
962,1
963,0
964,1
965,1
966,0
967,0
968,0
969,0
970,1
971,0
972,0
973,1
974,1
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,0
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,0
1015,0
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,1
1034,1
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,1
1056,1
1057,1
1058,1
1059,0
1060,1
1061,1
1062,0
1063,1
1064,0
1065,0
1066,1
1067,1
1068,0
1069,0
1070,0
1071,1
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,0
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,0
1106,0
1107,0
1108,1
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,1
1117,0
1118,1
1119,0
1120,1
1121,0
1122,0
1123,0
1124,0
1125,0
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,0
1136,1
1137,0
1138,0
1139,0
1140,0
1141,1
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,1
1151,1
1152,1
1153,1
1154,0
1155,1
1156,0
1157,1
1158,1
1159,1
1160,0
1161,0
1162,1
1163,1
1164,0
1165,1
1166,1
1167,1
1168,1
1169,0
1170,1
1171,0
1172,1
1173,0
1174,1
1175,1
1176,1
1177,1
1178,0
1179,1
1180,1
1181,1
1182,1
1183,0
1184,0
1185,0
1186,1
1187,1
1188,0
1189,1
1190,1
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,1
1201,1
1202,1
1203,0
1204,1
1205,1
1206,1
1207,0
1208,0
1209,0
1210,1
1211,0
1212,1
1213,0
1214,0
1215,0
1216,1
1217,0
1218,0
1219,0
1220,0
1221,1
1222,1
1223,1
1224,1
1225,0
1226,0
1227,0
1228,1
1229,0
1230,1
1231,1
1232,0
1233,0
1234,1
1235,0
1236,1
1237,1
1238,1
1239,0
1240,1
1241,0
1242,1
1243,0
1244,0
1245,0
1246,1
1247,0
1248,1
1249,1
1250,1
1251,0
1252,1
1253,1
1254,0
1255,0
1256,0
1257,1
1258,0
1259,0
1260,1
1261,1
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,1
1270,0
1271,1
1272,1
1273,0
1274,0
1275,1
1276,1
1277,1
1278,1
1279,0
1280,0
1281,0
1282,1
1283,1
1284,0
1285,0
1286,0
1287,0
1288,1
1289,0
1290,0
1291,0
1292,0
1293,1
1294,1
1295,1
1296,1
1297,1
1298,0
1299,1
1300,0
1301,1
1302,0
1303,0
1304,1
1305,1
1306,1
1307,0
1308,1
1309,0
1310,0
1311,1
1312,1
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,1
1320,1
1321,1
1322,0
1323,1
1324,1
1325,1
1326,1
1327,0
1328,1
1329,1
1330,0
1331,0
1332,0
1333,1
1334,0
1335,0
1336,1
1337,0
1338,0
1339,0
1340,0
1341,0
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,0
1350,0
1351,1
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,1
1359,1
1360,1
1361,0
1362,0
1363,0
1364,0
1365,0
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,0
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,0
1384,1
1385,1
1386,0
1387,1
1388,0
1389,1
1390,1
1391,0
1392,1
1393,1
1394,1
1395,0
1396,0
1397,1
1398,0
1399,1
1400,1
1401,1
1402,1
1403,0
1404,1
1405,1
1406,0
1407,1
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,1
1416,1
1417,1
1418,1
1419,0
1420,1
1421,1
1422,1
1423,1
1424,0
1425,0
1426,0
1427,0
1428,0
1429,1
1430,1
1431,0
1432,1
1433,1
1434,1
1435,1
1436,0
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,0
1446,0
1447,0
1448,1
1449,0
1450,0
1451,1
1452,1
1453,1
1454,1
1455,1
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,0
1470,1
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,1
1478,1
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,1
1487,0
1488,0
1489,1
1490,1
1491,0
1492,1
1493,0
1494,0
1495,0
1496,1
1497,0
1498,0
1499,0
1500,1
1501,0
1502,0
1503,0
1504,0
1505,1
1506,0
1507,0
1508,0
1509,0
1510,1
1511,1
1512,1
1513,0
1514,1
1515,1
1516,1
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,1
1525,0
1526,0
1527,1
1528,1
1529,1
1530,0
1531,0
1532,0
1533,1
1534,1
1535,1
1536,0
1537,1
1538,0
1539,0
1540,1
1541,0
1542,0
1543,1
1544,1
1545,0
1546,0
1547,0
1548,1
1549,0
1550,0
1551,1
1552,0
1553,0
1554,0
1555,0
1556,1
1557,1
1558,1
1559,0
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,0
1567,0
1568,0
1569,1
1570,0
1571,0
1572,1
1573,0
1574,0
1575,1
1576,0
1577,1
1578,0
1579,0
1580,0
1581,1
1582,0
1583,0
1584,1
1585,1
1586,1
1587,1
1588,1
1589,0
1590,0
1591,1
1592,0
1593,0
1594,1
1595,1
1596,0
1597,0
1598,0
1599,0
1600,0
1601,1
1602,0
1603,0
1604,0
1605,1
1606,0
1607,1
1608,0
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,0
1616,1
1617,0
1618,0
1619,1
1620,0
1621,0
1622,1
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,1
1631,1
1632,0
1633,1
1634,1
1635,1
1636,1
1637,1
1638,0
1639,1
1640,0
1641,1
1642,1
1643,1
1644,1
1645,1
1646,0
1647,0
1648,0
1649,0
1650,1
1651,0
1652,0
1653,0
1654,1
1655,1
1656,1
1657,1
1658,0
1659,1
1660,0
1661,1
1662,1
1663,0
1664,0
1665,0
1666,1
1667,1
1668,0
1669,1
1670,0
1671,1
1672,0
1673,0
1674,0
1675,0
1676,0
1677,1
1678,1
1679,1
1680,1
1681,0
1682,0
1683,1
1684,1
1685,1
1686,0
1687,0
1688,1
1689,0
1690,0
1691,1
1692,0
1693,1
1694,1
1695,1
1696,1
1697,0
1698,0
1699,0
1700,0
1701,1
1702,0
1703,1
1704,1
1705,1
1706,1
1707,1
1708,0
1709,1
1710,0
1711,0
1712,1
1713,0
1714,0
1715,1
1716,1
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,1
1726,1
1727,1
1728,0
1729,1
1730,1
1731,0
1732,1
1733,1
1734,1
1735,0
1736,0
1737,0
1738,0
1739,0
1740,1
1741,0
1742,0
1743,0
1744,1
1745,0
1746,0
1747,0
1748,0
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,0
1759,0
1760,0
1761,0
1762,1
1763,1
1764,1
1765,1
1766,0
1767,0
1768,1
1769,1
1770,0
1771,0
1772,1
1773,0
1774,0
1775,0
1776,1
1777,1
1778,1
1779,1
1780,0
1781,1
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,1
1789,0
1790,1
1791,1
1792,0
1793,0
1794,0
1795,0
1796,0
1797,1
1798,1
1799,0
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,0
1807,1
1808,1
1809,0
1810,1
1811,0
1812,0
1813,1
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,1
1821,0
1822,1
1823,0
1824,1
1825,1
1826,0
1827,1
1828,1
1829,1
1830,1
1831,0
1832,0
1833,0
1834,1
1835,0
1836,1
1837,1
1838,0
1839,1
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,0
1853,1
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,1
1861,0
1862,1
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1880,0
1881,0
1882,1
1883,1
1884,0
1885,1
1886,1
1887,0
1888,1
1889,0
1890,0
1891,0
1892,0
1893,0
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,0
1901,1
1902,1
1903,0
1904,1
1905,0
1906,1
1907,1
1908,0
1909,0
1910,1
1911,0
1912,1
1913,0
1914,0
1915,0
1916,0
1917,1
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,0
1925,0
1926,0
1927,1
1928,1
1929,1
1930,0
1931,1
1932,1
1933,0
1934,1
1935,1
1936,1
1937,0
1938,0
1939,0
1940,1
1941,1
1942,1
1943,1
1944,1
1945,1
1946,0
1947,1
1948,1
1949,1
1950,0
1951,0
1952,1
1953,1
1954,1
1955,0
1956,1
1957,0
1958,1
1959,1
1960,0
1961,1
1962,0
1963,0
1964,0
1965,0
1966,1
1967,1
1968,0
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,0
1976,0
1977,0
1978,1
1979,0
1980,0
1981,0
1982,1
1983,0
1984,1
1985,0
1986,0
1987,0
1988,0
1989,0
1990,1
1991,1
1992,1
1993,1
1994,0
1995,0
1996,0
1997,1
1998,1
1999,0
2000,0
2001,0
2002,1
2003,1
2004,0
2005,1
2006,0
2007,1
2008,0
2009,0
2010,1
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,1
2018,1
2019,1
2020,1
2021,0
2022,0
2023,1
2024,0
2025,0
2026,1
2027,0
2028,1
2029,0
2030,0
2031,1
2032,1
2033,0
2034,0
2035,0
2036,1
2037,0
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,0
2045,1
2046,1
2047,0
2048,0
2049,0
2050,1
2051,1
2052,1
2053,0
2054,1
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,1
2064,1
2065,0
2066,0
2067,1
2068,1
2069,1
2070,1
2071,0
2072,0
2073,0
2074,1
2075,1
2076,1
2077,0
2078,1
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,1
2086,0
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,1
2102,0
2103,0
2104,1
2105,0
2106,0
2107,0
2108,0
2109,0
2110,1
2111,1
2112,0
2113,1
2114,1
2115,0
2116,1
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,1
2124,1
2125,0
2126,0
2127,1
2128,0
2129,1
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,0
2143,0
2144,0
2145,1
2146,0
2147,1
2148,0
2149,1
2150,0
2151,0
2152,0
2153,1
2154,0
2155,1
2156,0
2157,1
2158,1
2159,1
2160,1
2161,1
2162,0
2163,1
2164,1
2165,0
2166,1
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,1
2174,0
2175,1
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,1
2183,1
2184,1
2185,1
2186,1
2187,0
2188,1
2189,1
2190,0
2191,1
2192,0
2193,0
2194,1
2195,1
2196,0
2197,1
2198,1
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,1
2206,1
2207,0
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2215,0
2216,0
2217,0
2218,1
2219,1
2220,0
2221,0
2222,1
2223,1
2224,1
2225,0
2226,0
2227,0
2228,0
2229,0
2230,1
2231,1
2232,1
2233,1
2234,1
2235,0
2236,1
2237,1
2238,1
2239,0
2240,0
2241,1
2242,0
2243,0
2244,1
2245,1
2246,1
2247,1
2248,1
2249,0
2250,0
2251,0
2252,0
2253,0
2254,1
2255,1
2256,0
2257,1
2258,1
2259,1
2260,0
2261,1
2262,0
2263,0
2264,0
2265,1
2266,0
2267,0
2268,1
2269,1
2270,1
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,1
2279,0
2280,1
2281,1
2282,1
2283,1
2284,1
2285,0
2286,1
2287,1
2288,0
2289,1
2290,0
2291,0
2292,0
2293,0
2294,1
2295,1
2296,1
2297,0
2298,0
2299,0
2300,0
2301,0
2302,1
2303,1
2304,0
2305,1
2306,1
2307,0
2308,1
2309,1
2310,1
2311,0
2312,1
2313,0
2314,1
2315,0
2316,0
2317,1
2318,1
2319,1
2320,1
2321,0
2322,0
2323,1
2324,0
2325,1
2326,1
2327,1
2328,0
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,0
2337,0
2338,0
2339,0
2340,0
2341,1
2342,0
2343,0
2344,0
2345,1
2346,0
2347,0
2348,0
2349,0
2350,1
2351,0
2352,1
2353,1
2354,1
2355,1
2356,0
2357,1
2358,1
2359,0
2360,0
2361,1
2362,1
2363,0
2364,1
2365,0
2366,0
2367,0
2368,1
2369,0
2370,0
2371,0
2372,0
2373,1
2374,1
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2382,0
2383,1
2384,0
2385,0
2386,0
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,0
2394,1
2395,0
2396,0
2397,1
2398,0
2399,1
2400,1
2401,1
2402,0
2403,1
2404,0
2405,0
2406,1
2407,0
2408,0
2409,0
2410,1
2411,1
2412,1
2413,1
2414,0
2415,0
2416,1
2417,0
2418,0
2419,0
2420,0
2421,1
2422,1
2423,0
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2430,0
2431,1
2432,1
2433,0
2434,0
2435,1
2436,0
2437,0
2438,0
2439,1
2440,1
2441,0
2442,0
2443,0
2444,0
2445,1
2446,1
2447,1
2448,0
2449,0
2450,0
2451,1
2452,1
2453,1
2454,0
2455,1
2456,0
2457,0
2458,0
2459,0
2460,0
2461,1
2462,0
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,0
2481,0
2482,1
2483,1
2484,1
2485,1
2486,0
2487,0
2488,1
2489,0
2490,0
2491,0
2492,0
2493,0
2494,1
2495,1
2496,1
2497,0
2498,0
2499,1
2500,1
2501,1
2502,0
2503,0
2504,1
2505,0
2506,0
2507,0
2508,0
2509,0
2510,1
2511,1
2512,1
2513,1
2514,0
2515,0
2516,0
2517,1
2518,0
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,0
2528,0
2529,0
2530,1
2531,1
2532,1
2533,0
2534,0
2535,1
2536,0
2537,0
2538,0
2539,0
2540,0
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,0
2551,0
2552,1
2553,0
2554,0
2555,0
2556,0
2557,1
2558,0
2559,1
2560,0
2561,0
2562,0
2563,0
2564,0
2565,1
2566,1
2567,0
2568,1
2569,0
2570,1
2571,1
2572,0
2573,1
2574,1
2575,0
2576,1
2577,1
2578,0
2579,0
2580,0
2581,1
2582,1
2583,1
2584,0
2585,0
2586,0
2587,0
2588,0
2589,1
2590,0
2591,1
2592,1
2593,1
2594,1
2595,1
2596,0
2597,1
2598,1
2599,0
2600,0
2601,1
2602,0
2603,0
2604,0
2605,0
2606,0
2607,1
2608,1
2609,0
2610,0
2611,1
2612,0
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,0
2620,0
2621,1
2622,0
2623,0
2624,1
2625,1
2626,1
2627,1
2628,0
2629,0
2630,0
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,1
2639,1
2640,0
2641,1
2642,0
2643,0
2644,1
2645,0
2646,0
2647,0
2648,1
2649,1
2650,1
2651,0
2652,1
2653,1
2654,1
2655,1
2656,1
2657,1
2658,0
2659,0
2660,0
2661,1
2662,1
2663,1
2664,1
2665,1
2666,1
2667,0
2668,1
2669,1
2670,0
2671,0
2672,0
2673,0
2674,1
2675,0
2676,1
2677,0
2678,0
2679,1
2680,1
2681,0
2682,0
2683,0
2684,0
2685,0
2686,1
2687,0
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,0
2695,1
2696,0
2697,0
2698,1
2699,1
2700,0
2701,0
2702,1
2703,0
2704,0
2705,1
2706,0
2707,0
2708,0
2709,0
2710,1
2711,0
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
2719,0
2720,0
2721,0
2722,1
2723,0
2724,1
2725,1
2726,0
2727,1
2728,1
2729,0
2730,0
2731,0
2732,0
2733,0
2734,1
2735,0
2736,1
2737,1
2738,1
2739,1
2740,0
2741,1
2742,0
2743,0
2744,0
2745,0
2746,1
2747,1
2748,0
2749,0
2750,0
2751,1
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,1
2759,1
2760,1
2761,1
2762,1
2763,0
2764,1
2765,1
2766,0
2767,0
2768,0
2769,0
2770,0
2771,0
2772,0
2773,0
2774,0
2775,1
2776,1
2777,0
2778,0
2779,0
2780,0
2781,1
2782,1
2783,0
2784,0
2785,1
2786,1
2787,0
2788,1
2789,0
2790,1
2791,1
2792,1
2793,0
2794,0
2795,0
2796,1
2797,0
2798,1
2799,1
2800,1
2801,0
2802,0
2803,0
2804,0
2805,1
2806,1
2807,1
2808,1
2809,0
2810,1
2811,1
2812,1
2813,0
2814,1
2815,0
2816,0
2817,1
2818,0
2819,0
2820,1
2821,0
2822,1
2823,1
2824,1
2825,0
2826,0
2827,0
2828,0
2829,0
2830,1
2831,1
2832,1
2833,1
2834,1
2835,1
2836,1
2837,1
2838,0
2839,0
2840,0
2841,1
2842,1
2843,1
2844,1
2845,0
2846,0
2847,1
2848,1
2849,0
2850,0
2851,0
2852,0
2853,0
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,0
2862,1
2863,0
2864,0
2865,1
2866,0
2867,1
2868,0
2869,1
2870,0
2871,0
2872,1
2873,0
2874,0
2875,0
2876,1
2877,0
2878,0
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,0
2887,0
2888,0
2889,1
2890,0
2891,0
2892,0
2893,1
2894,1
2895,0
2896,0
2897,0
2898,0
2899,0
2900,0
2901,1
2902,1
2903,0
2904,1
2905,1
2906,1
2907,1
2908,0
2909,1
2910,0
2911,0
2912,1
2913,0
2914,0
2915,0
2916,1
2917,0
2918,1
2919,1
2920,1
2921,0
2922,0
2923,0
2924,1
2925,1
2926,1
2927,1
2928,0
2929,1
2930,1
2931,1
2932,1
2933,1
2934,1
2935,0
2936,0
2937,1
2938,1
2939,0
2940,1
2941,0
2942,1
2943,0
2944,0
2945,0
2946,0
2947,0
2948,0
2949,0
2950,1
2951,0
2952,0
2953,1
2954,1
2955,1
2956,1
2957,1
2958,0
2959,1
2960,0
2961,0
2962,0
2963,0
2964,1
2965,1
2966,1
2967,1
2968,1
2969,0
2970,1
2971,0
2972,0
2973,0
2974,1
2975,0
2976,1
2977,1
2978,1
2979,1
2980,1
2981,1
2982,1
2983,1
2984,0
2985,0
2986,1
2987,0
2988,1
2989,1
2990,1
2991,1
2992,1
2993,0
2994,0
2995,0
2996,0
2997,0
